ItemCode,ItemName,Warehouse,OnHand,OnOrder,Committed,AvailableToPromise,
FF003,Coach Screws 75mm,W01-F00-A01-B01,1500,,200,1300,1925
FF003,Coach Screws 75mm,W01-F02-A01-B01,125,500,,625,
FF015,Spring Washers,W01-F00-A01-B01,5005,500,2000,3505,2340
FF015,Spring Washers,W01-F02-A01-B01,85,,1250,-1165,
FF025,Wall Plugs 8mm,W01-F00-A01-B01,2825,500,950,2375,2500
FF025,Wall Plugs 8mm,W01-F02-A01-B01,225,,100,125,
FF106,Cable Clips,W01-F00-A01-B01,5056,750,3286,2520,2565
FF106,Cable Clips,W01-F02-A01-B01,45,,,45,
FF125,M8 Zinc Hex Bolts,W01-F00-A01-B01,1500,500,1075,925,1153
FF125,M8 Zinc Hex Bolts,W01-F02-A01-B01,228,,,228,
FF158,M10 Stainless Steel Nuts,W01-F00-A01-B01,3750,500,825,3425,3786
FF158,M10 Stainless Steel Nuts,W01-F02-A01-B01,361,,,361,
PP002,15mm Copper Elbow,W01-F00-A03-B02,2500,1000,900,2600,2695
PP002,15mm Copper Elbow,W01-F00-A03-B05,95,,,95,
PP025,22mm Compression Coupler,W01-F00-A03-B02,2500,750,850,2400,2505
PP025,22mm Compression Coupler,W01-F00-A03-B04,105,,,105,
PP068,Flexible Tap Connector,W01-F00-A03-B02,1500,500,450,1550,1608
PP068,Flexible Tap Connector,W01-F02-A03-B02,58,,,58,
PP072,Brass Stop End,W01-F00-A03-B05,1450,1000,1150,1300,1550
PP072,Brass Stop End,W01-F00-A03-B15,250,,,250,
PP084,PTFE Tape,W01-F00-A03-B05,1500,500,425,1575,1825
PP084,PTFE Tape,W01-F00-A15-B05,250,,,250,
PP117,Isolation Valve,W01-F00-A03-B05,500,300,260,540,566
PP117,Isolation Valve,W01-F02-A03-B05,26,,,26,
PS006,Pallet Wrap Roll,D01-F00-A01-B01,15.5,,10,5.5,65.5
PS006,Pallet Wrap Roll,W01-F00-A07-B01,60,,,60,
PS008,Bubble Wrap Roll,D01-F00-A01-B01,150,,250,-100,755
PS008,Bubble Wrap Roll,W01-F00-A07-B08,655,200,,855,
PS034,Pallet Labels,D01-F00-A01-B04,225,,200,25,3575
PS034,Pallet Labels,W01-F01-A07-B05,3550,,,3550,
PS072,Packing Tape Clear,D01-F00-A01-B02,27,,25,2,62
PS072,Packing Tape Clear,W01-F01-A07-B02,85,50,75,60,
PS092,Strapping Band,D01-F00-A01-B02,375,,450,-75,3475
PS092,Strapping Band,W01-F01-A07-B08,2625,1000,75,3550,
PS112,Cardboard Box Medium,D01-F00-A01-B03,25,,50,-25,1450
PS112,Cardboard Box Medium,W01-F00-A07-B05,775,750,50,1475,
SS003,Nitrile Gloves Box,Q01-F01-A05-B03,60,,25,35,260
SS003,Nitrile Gloves Box,W01-F01-A05-B03,275,,50,225,
SS069,Hi-Vis Vest Large,W01-F01-A05-B03,250,500,750,0,560
SS069,Hi-Vis Vest Large,W01-F01-A05-B15,60,500,,560,
SS078,Safety Glasses Clear,Q01-F01-A05-B03,25,,,25,310
SS078,Safety Glasses Clear,W01-F01-A05-B03,260,50,25,285,
SS109,Ear Defenders,W01-F00-A05-B02,100,,,100,201
SS109,Ear Defenders,W01-F01-A05-B01,166,200,265,101,
SS143,Dust Masks FFP2,W01-F00-A05-B02,250,,,250,275
SS143,Dust Masks FFP2,W01-F01-A05-B02,75,150,200,25,
SS158,Cut Resistant Gloves,W01-F01-A05-B04,250,,50,200,550
SS158,Cut Resistant Gloves,W01-F01-A05-B05,350,,,350,
TE001,Cordless Drill 18V,W01-F01-A04-B05,32,,5,27,
TE008,Adjustable Spanner,W01-F01-A04-B03,78,,15,63,
TE010,Drill Bit Set,W01-F01-A04-B08,124,,25,99,
TE015,Pipe Cutter,W01-F01-A04-B07,155,,80,75,
TE036,Step Ladder 6 Tread,W01-F00-A04-B07,35,,25,10,
TE085,Digital Multimeter,W01-F01-A04-B08,60,,15,45,
